AREANM,AREACD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth_1997_2016_Pct,Growth_1997_2016_Abs,Growth_2007_2016_Pct,Avg_Annual_Growth,Growth_Category
Hartlepool and Stockton-on-Tees,UKC11,9269,9362,9765,10281,10721,11068,11302,11744,12177,12633,12923,13241,13741,13887,14244,14734,14752,15121,15622,15291,64.96925234653145,6022,18.32391859475354,2.6696930171560274,Slow
South Teesside,UKC12,8988,8799,9201,9820,10289,10363,10532,10913,11289,11753,11904,12160,12901,12893,13144,13991,14124,14601,14972,14753,64.14107699154428,5765,23.933131720430108,2.642500911037682,Slow
Darlington,UKC13,9637,9656,9753,10681,11538,11639,11929,12187,12391,12623,13222,13219,13881,13806,13700,14341,14729,14856,15537,15487,60.703538445574345,5850,17.13054000907578,2.528226269442224,Slow
Durham CC,UKC14,9238,9573,9886,10470,10868,11038,11207,11747,11944,12295,12529,12775,13232,13522,13655,14161,14430,14718,15325,15221,64.76510067114094,5983,21.486152127065207,2.663001981964497,Slow
Northumberland,UKC21,10301,10563,11021,11820,12276,12504,13027,13432,13675,14505,14803,15681,16629,16469,16617,17288,17681,17842,18522,18016,74.89564119988351,7715,21.70505978517868,2.985917238670499,Slow
Tyneside,UKC22,9209,9594,9669,10261,10734,10998,11294,11789,11806,12197,12523,12681,13275,13493,13618,14350,14542,14759,15489,15505,68.36790096644587,6296,23.812185578535495,2.779945742286416,Slow
Sunderland,UKC23,8515,8589,8990,9664,10029,10335,10562,10862,11258,11591,12006,12189,12626,12863,13139,13781,14111,14111,14563,14998,76.13623018203171,6483,24.92087289688489,3.0242365944406213,Slow
West Cumbria,UKD11,9028,9553,9717,10440,11020,11025,11464,12021,12315,12895,13692,13910,14422,14747,14940,15858,16114,16411,17281,17578,94.70536109880372,8550,28.381536663745255,3.5691510322633624,Moderate
East Cumbria,UKD12,10952,11509,11767,12075,12935,13355,13963,14464,14993,15472,15802,16110,16870,17196,17215,17962,18623,18997,19843,19928,81.95763330898465,8976,26.110618908998863,3.2007007621304817,Moderate
Manchester,UKD33,7181,7553,8173,8633,8996,9431,9483,9713,10093,10385,10673,10903,11398,11382,11593,11927,12258,12514,13189,13184,83.59559949867706,6003,23.526656047971517,3.2493883968007786,Moderate
Greater Manchester South West,UKD34,11958,12268,12823,13618,13901,14259,14500,14879,15257,15641,16088,16271,16520,16402,16554,17133,17395,17624,18809,18786,57.09984947315605,6828,16.770263550472404,2.4059145543502414,Slow
