AREANM,AREACD,Year,GDHI,UK_Average,Diff_from_UK_Avg,Pct_of_UK_Avg,Income_Category
Hartlepool and Stockton-on-Tees,UKC11,1997,9269,10603.748603351954,-1334.7486033519544,87.41248351615931,Low
South Teesside,UKC12,1997,8988,10603.748603351954,-1615.7486033519544,84.76247727297873,Low
Darlington,UKC13,1997,9637,10603.748603351954,-966.7486033519544,90.88295432573386,Low
Durham CC,UKC14,1997,9238,10603.748603351954,-1365.7486033519544,87.12013407296145,Low
Northumberland,UKC21,1997,10301,10603.748603351954,-302.74860335195444,97.14489078648796,Low
Tyneside,UKC22,1997,9209,10603.748603351954,-1394.7486033519544,86.84664588416345,Low
Sunderland,UKC23,1997,8515,10603.748603351954,-2088.7486033519544,80.30179060741143,Low
West Cumbria,UKD11,1997,9028,10603.748603351954,-1575.7486033519544,85.13970236097596,Low
East Cumbria,UKD12,1997,10952,10603.748603351954,348.25139664804556,103.28422909364296,Low
Manchester,UKD33,1997,7181,10603.748603351954,-3422.7486033519544,67.72133392270364,Low
Greater Manchester South West,UKD34,1997,11958,10603.748603351954,1354.2513966480456,112.77144005677344,Low
Greater Manchester South East,UKD35,1997,9898,10603.748603351954,-705.7486033519544,93.34434802491583,Low
Greater Manchester North West,UKD36,1997,9951,10603.748603351954,-652.7486033519544,93.84417126651216,Low
Greater Manchester North East,UKD37,1997,9090,10603.748603351954,-1513.7486033519544,85.72440124737169,Low
Blackburn with Darwen,UKD41,1997,8474,10603.748603351954,-2129.7486033519544,79.91513489221425,Low
Blackpool,UKD42,1997,9597,10603.748603351954,-1006.7486033519544,90.50572923773663,Low
Lancaster and Wyre,UKD44,1997,9241,10603.748603351954,-1362.7486033519544,87.14842595456125,Low
Mid Lancashire,UKD45,1997,10815,10603.748603351954,211.25139664804556,101.99223316725245,Low
East Lancashire,UKD46,1997,8318,10603.748603351954,-2285.7486033519544,78.44395704902504,Low
Chorley and West Lancashire,UKD47,1997,10408,10603.748603351954,-195.74860335195444,98.15396789688057,Low
Warrington,UKD61,1997,10432,10603.748603351954,-171.74860335195444,98.38030294967892,Low
Cheshire East,UKD62,1997,12171,10603.748603351954,1567.2513966480456,114.78016365035873,Low
Cheshire West and Chester,UKD63,1997,11089,10603.748603351954,485.25139664804556,104.57622502003349,Low
East Merseyside,UKD71,1997,8232,10603.748603351954,-2371.7486033519544,77.63292310983098,Low
Liverpool,UKD72,1997,8445,10603.748603351954,-2158.7486033519544,79.64164670341627,Low
Sefton,UKD73,1997,11403,10603.748603351954,799.2513966480456,107.5374419608118,Low
Wirral,UKD74,1997,10261,10603.748603351954,-342.74860335195444,96.76766569849073,Low
"Kingston upon Hull, City of",UKE11,1997,7411,10603.748603351954,-3192.7486033519544,69.89037817868774,Low
East Riding of Yorkshire,UKE12,1997,10802,10603.748603351954,198.25139664804556,101.86963501365334,Low
North and North East Lincolnshire,UKE13,1997,9293,10603.748603351954,-1310.7486033519544,87.63881856895765,Low
York,UKE21,1997,10532,10603.748603351954,-71.74860335195444,99.323365669672,Low
North Yorkshire CC,UKE22,1997,11701,10603.748603351954,1097.2513966480456,110.34776886639119,Low
"Barnsley, Doncaster and Rotherham",UKE31,1997,8747,10603.748603351954,-1856.7486033519544,82.48969611779539,Low
Sheffield,UKE32,1997,9331,10603.748603351954,-1272.7486033519544,87.99718240255501,Low
Bradford,UKE41,1997,9314,10603.748603351954,-1289.7486033519544,87.83686174015621,Low
Leeds,UKE42,1997,10178,10603.748603351954,-425.74860335195444,95.98492364089648,Low
Calderdale and Kirklees,UKE44,1997,9519,10603.748603351954,-1084.7486033519544,89.77014031614202,Low
Wakefield,UKE45,1997,9311,10603.748603351954,-1292.7486033519544,87.80856985855641,Low
Derby,UKF11,1997,9300,10603.748603351954,-1303.7486033519544,87.70483295935716,Low
East Derbyshire,UKF12,1997,8612,10603.748603351954,-1991.7486033519544,81.21656144580473,Low
South and West Derbyshire,UKF13,1997,9685,10603.748603351954,-918.7486033519544,91.33562443133056,Low
Nottingham,UKF14,1997,8304,10603.748603351954,-2299.7486033519544,78.31192826822601,Low
North Nottinghamshire,UKF15,1997,9046,10603.748603351954,-1557.7486033519544,85.30945365057472,Low
South Nottinghamshire,UKF16,1997,11038,10603.748603351954,434.25139664804556,104.09526303283702,Low
Leicester,UKF21,1997,8348,10603.748603351954,-2255.7486033519544,78.72687586502298,Low
Leicestershire CC and Rutland,UKF22,1997,11144,10603.748603351954,540.2513966480456,105.09490951602972,Low
West Northamptonshire,UKF24,1997,10975,10603.748603351954,371.25139664804556,103.50113351924139,Low
North Northamptonshire,UKF25,1997,10271,10603.748603351954,-332.74860335195444,96.86197197049005,Low
Lincolnshire,UKF30,1997,10106,10603.748603351954,-497.74860335195444,95.30591848250145,Low
"Herefordshire, County of",UKG11,1997,10259,10603.748603351954,-344.74860335195444,96.74880444409088,Low
Worcestershire,UKG12,1997,11161,10603.748603351954,557.2513966480456,105.25523017842853,Low
Warwickshire,UKG13,1997,11626,10603.748603351954,1022.2513966480456,109.64047182639638,Low
Telford and Wrekin,UKG21,1997,10090,10603.748603351954,-513.7486033519544,95.15502844730256,Low
Shropshire CC,UKG22,1997,10773,10603.748603351954,169.25139664804556,101.59614682485534,Low
Stoke-on-Trent,UKG23,1997,8260,10603.748603351954,-2343.7486033519544,77.89698067142905,Low
Staffordshire CC,UKG24,1997,10276,10603.748603351954,-327.74860335195444,96.9091251064897,Low
Birmingham,UKG31,1997,8803,10603.748603351954,-1800.7486033519544,83.01781124099152,Low
Solihull,UKG32,1997,12156,10603.748603351954,1552.2513966480456,114.63870424235975,Low
Coventry,UKG33,1997,8998,10603.748603351954,-1605.7486033519544,84.85678354497804,Low
Dudley,UKG36,1997,9656,10603.748603351954,-947.7486033519544,91.06213624253256,Low
Sandwell,UKG37,1997,8180,10603.748603351954,-2423.7486033519544,77.14253049543458,Low
Walsall,UKG38,1997,8883,10603.748603351954,-1720.7486033519544,83.772261416986,Low
Wolverhampton,UKG39,1997,8936,10603.748603351954,-1667.7486033519544,84.27208465858233,Low
Peterborough,UKH11,1997,9916,10603.748603351954,-687.7486033519544,93.51409931451458,Low
Cambridgeshire CC,UKH12,1997,11517,10603.748603351954,913.2513966480456,108.61253346160392,Low
Suffolk,UKH14,1997,10222,10603.748603351954,-381.74860335195444,96.39987123769343,Low
Norwich and East Norfolk,UKH15,1997,10042,10603.748603351954,-561.7486033519544,94.70235834170587,Low
North and West Norfolk,UKH16,1997,9574,10603.748603351954,-1029.7486033519544,90.28882481213823,Low
Breckland and South Norfolk,UKH17,1997,10381,10603.748603351954,-222.74860335195444,97.89934096248244,Low
Luton,UKH21,1997,9260,10603.748603351954,-1343.7486033519544,87.32760787135993,Low
Hertfordshire,UKH23,1997,13267,10603.748603351954,2663.2513966480456,125.11613106148296,Low
Bedford,UKH24,1997,11406,10603.748603351954,802.2513966480456,107.56573384241159,Low
Central Bedfordshire,UKH25,1997,12129,10603.748603351954,1525.2513966480456,114.38407730796163,Low
Southend-on-Sea,UKH31,1997,10676,10603.748603351954,72.25139664804556,100.68137598646206,Low
Thurrock,UKH32,1997,10133,10603.748603351954,-470.74860335195444,95.56054541689959,Low
Essex Haven Gateway,UKH34,1997,10134,10603.748603351954,-469.74860335195444,95.56997604409952,Low
West Essex,UKH35,1997,13429,10603.748603351954,2825.2513966480456,126.64389266787175,Low
Heart of Essex,UKH36,1997,13661,10603.748603351954,3057.2513966480456,128.83179817825572,Low
Essex Thames Gateway,UKH37,1997,11434,10603.748603351954,830.2513966480456,107.82979140400965,Low
Camden and City of London,UKI31,1997,18600,10603.748603351954,7996.251396648046,175.40966591871432,High
Westminster,UKI32,1997,21079,10603.748603351954,10475.251396648046,198.78819074734298,High
Kensington & Chelsea and Hammersmith & Fulham,UKI33,1997,27630,10603.748603351954,17026.251396648047,260.56822953409016,Very High
Wandsworth,UKI34,1997,14012,10603.748603351954,3408.2513966480456,132.14194832543146,Low
Hackney and Newham,UKI41,1997,6448,10603.748603351954,-4155.748603351954,60.808684185154306,Low
Tower Hamlets,UKI42,1997,13122,10603.748603351954,2518.2513966480456,123.74869011749298,Low
Haringey and Islington,UKI43,1997,15262,10603.748603351954,4658.251396648046,143.93023232534506,Medium
Lewisham and Southwark,UKI44,1997,10070,10603.748603351954,-533.7486033519544,94.96641590330394,Low
Lambeth,UKI45,1997,11141,10603.748603351954,537.2513966480456,105.0666176344299,Low
Bexley and Greenwich,UKI51,1997,12818,10603.748603351954,2214.2513966480456,120.88177944871398,Low
Barking & Dagenham and Havering,UKI52,1997,10307,10603.748603351954,-296.74860335195444,97.20147454968756,Low
Redbridge and Waltham Forest,UKI53,1997,11109,10603.748603351954,505.25139664804556,104.76483756403212,Low
Enfield,UKI54,1997,10966,10603.748603351954,362.25139664804556,103.416257874442,Low
Bromley,UKI61,1997,13916,10603.748603351954,3312.2513966480456,131.2366081142381,Low
Croydon,UKI62,1997,10324,10603.748603351954,-279.74860335195444,97.36179521208639,Low
"Merton, Kingston upon Thames and Sutton",UKI63,1997,14261,10603.748603351954,3657.2513966480456,134.49017449821426,Low
Barnet,UKI71,1997,12774,10603.748603351954,2170.2513966480456,120.46683185191705,Low
Brent,UKI72,1997,10845,10603.748603351954,241.25139664804556,102.27515198325037,Low
Ealing,UKI73,1997,12921,10603.748603351954,2317.2513966480456,121.85313405030686,Low
