AREANM,AREACD,Year,GDHI_Per_Head
Aberdeen City and Aberdeenshire,UKM50,1997,11103
Aberdeen City and Aberdeenshire,UKM50,1998,11479
Aberdeen City and Aberdeenshire,UKM50,1999,11301
Aberdeen City and Aberdeenshire,UKM50,2000,12173
Aberdeen City and Aberdeenshire,UKM50,2001,12822
Aberdeen City and Aberdeenshire,UKM50,2002,13304
Aberdeen City and Aberdeenshire,UKM50,2003,13521
Aberdeen City and Aberdeenshire,UKM50,2004,14414
Aberdeen City and Aberdeenshire,UKM50,2005,15409
Aberdeen City and Aberdeenshire,UKM50,2006,16181
Aberdeen City and Aberdeenshire,UKM50,2007,17176
Aberdeen City and Aberdeenshire,UKM50,2008,18023
Aberdeen City and Aberdeenshire,UKM50,2009,18464
Aberdeen City and Aberdeenshire,UKM50,2010,18715
Aberdeen City and Aberdeenshire,UKM50,2011,19565
Aberdeen City and Aberdeenshire,UKM50,2012,20391
Aberdeen City and Aberdeenshire,UKM50,2013,21466
Aberdeen City and Aberdeenshire,UKM50,2014,21777
Aberdeen City and Aberdeenshire,UKM50,2015,22080
Aberdeen City and Aberdeenshire,UKM50,2016,21534
Angus and Dundee City,UKM71,1997,9382
Angus and Dundee City,UKM71,1998,9707
Angus and Dundee City,UKM71,1999,9964
Angus and Dundee City,UKM71,2000,10773
Angus and Dundee City,UKM71,2001,11412
Angus and Dundee City,UKM71,2002,11955
Angus and Dundee City,UKM71,2003,12062
Angus and Dundee City,UKM71,2004,12449
Angus and Dundee City,UKM71,2005,12488
Angus and Dundee City,UKM71,2006,12955
Angus and Dundee City,UKM71,2007,13735
Angus and Dundee City,UKM71,2008,14625
Angus and Dundee City,UKM71,2009,14644
Angus and Dundee City,UKM71,2010,14440
Angus and Dundee City,UKM71,2011,14761
Angus and Dundee City,UKM71,2012,15186
Angus and Dundee City,UKM71,2013,15858
Angus and Dundee City,UKM71,2014,16178
Angus and Dundee City,UKM71,2015,16684
Angus and Dundee City,UKM71,2016,16939
Antrim and Newtownabbey,UKN13,1997,9390
Antrim and Newtownabbey,UKN13,1998,9521
Antrim and Newtownabbey,UKN13,1999,9787
Antrim and Newtownabbey,UKN13,2000,10615
Antrim and Newtownabbey,UKN13,2001,10862
Antrim and Newtownabbey,UKN13,2002,11438
Antrim and Newtownabbey,UKN13,2003,11851
Antrim and Newtownabbey,UKN13,2004,12405
Antrim and Newtownabbey,UKN13,2005,12829
Antrim and Newtownabbey,UKN13,2006,13340
Antrim and Newtownabbey,UKN13,2007,13866
Antrim and Newtownabbey,UKN13,2008,14237
Antrim and Newtownabbey,UKN13,2009,14335
Antrim and Newtownabbey,UKN13,2010,14214
Antrim and Newtownabbey,UKN13,2011,14683
Antrim and Newtownabbey,UKN13,2012,15156
Antrim and Newtownabbey,UKN13,2013,15647
Antrim and Newtownabbey,UKN13,2014,16074
Antrim and Newtownabbey,UKN13,2015,16592
Antrim and Newtownabbey,UKN13,2016,16849
Ards and North Down,UKN09,1997,9608
Ards and North Down,UKN09,1998,9748
Ards and North Down,UKN09,1999,9987
Ards and North Down,UKN09,2000,10664
Ards and North Down,UKN09,2001,10999
Ards and North Down,UKN09,2002,11614
Ards and North Down,UKN09,2003,11995
Ards and North Down,UKN09,2004,12464
Ards and North Down,UKN09,2005,13002
Ards and North Down,UKN09,2006,13598
Ards and North Down,UKN09,2007,14021
Ards and North Down,UKN09,2008,14445
Ards and North Down,UKN09,2009,14597
Ards and North Down,UKN09,2010,14578
Ards and North Down,UKN09,2011,15005
Ards and North Down,UKN09,2012,15415
Ards and North Down,UKN09,2013,16008
