AREANM,AREACD,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,GDHI_1997,GDHI_2016,Absolute_Change,Percentage_Growth,Average_GDHI,Volatility,Income_Category_2016,Growth_Category
Hartlepool and Stockton-on-Tees,UKC11,9269,9362,9765,10281,10721,11068,11302,11744,12177,12633,12923,13241,13741,13887,14244,14734,14752,15121,15622,15291,9269,15291,6022,64.96925234653145,12593.9,2071.8709038222587,Medium,Moderate
South Teesside,UKC12,8988,8799,9201,9820,10289,10363,10532,10913,11289,11753,11904,12160,12901,12893,13144,13991,14124,14601,14972,14753,8988,14753,5765,64.14107699154428,11869.5,1995.7903987617221,Low,Moderate
Darlington,UKC13,9637,9656,9753,10681,11538,11639,11929,12187,12391,12623,13222,13219,13881,13806,13700,14341,14729,14856,15537,15487,9637,15487,5850,60.703538445574345,12740.6,1867.2373457231295,Medium,Moderate
Durham CC,UKC14,9238,9573,9886,10470,10868,11038,11207,11747,11944,12295,12529,12775,13232,13522,13655,14161,14430,14718,15325,15221,9238,15221,5983,64.76510067114094,12391.7,1879.204593774493,Medium,Moderate
Northumberland,UKC21,10301,10563,11021,11820,12276,12504,13027,13432,13675,14505,14803,15681,16629,16469,16617,17288,17681,17842,18522,18016,10301,18016,7715,74.89564119988351,14633.6,2684.8394718257705,Medium,Moderate
Tyneside,UKC22,9209,9594,9669,10261,10734,10998,11294,11789,11806,12197,12523,12681,13275,13493,13618,14350,14542,14759,15489,15505,9209,15505,6296,68.36790096644587,12389.3,1966.7720040181257,Medium,Moderate
Sunderland,UKC23,8515,8589,8990,9664,10029,10335,10562,10862,11258,11591,12006,12189,12626,12863,13139,13781,14111,14111,14563,14998,8515,14998,6483,76.13623018203171,11739.1,2023.3487588648675,Low,Moderate
West Cumbria,UKD11,9028,9553,9717,10440,11020,11025,11464,12021,12315,12895,13692,13910,14422,14747,14940,15858,16114,16411,17281,17578,9028,17578,8550,94.70536109880372,13221.55,2661.1966931201614,Medium,Fast
East Cumbria,UKD12,10952,11509,11767,12075,12935,13355,13963,14464,14993,15472,15802,16110,16870,17196,17215,17962,18623,18997,19843,19928,10952,19928,8976,81.95763330898465,15501.55,2826.7729317889575,Medium,Fast
Manchester,UKD33,7181,7553,8173,8633,8996,9431,9483,9713,10093,10385,10673,10903,11398,11382,11593,11927,12258,12514,13189,13184,7181,13184,6003,83.59559949867706,10433.1,1782.0444468436572,Low,Fast
Greater Manchester South West,UKD34,11958,12268,12823,13618,13901,14259,14500,14879,15257,15641,16088,16271,16520,16402,16554,17133,17395,17624,18809,18786,11958,18786,6828,57.09984947315605,15534.3,1995.5112285221287,Medium,Slow
Greater Manchester South East,UKD35,9898,10151,10791,11467,11702,12027,12394,12557,12983,13465,13950,14181,14785,14924,15186,15789,16209,16647,17463,17561,9898,17561,7663,77.41968074358456,13706.5,2344.752495074458,Medium,Moderate
Greater Manchester North West,UKD36,9951,10185,10651,11254,11614,11837,12072,12450,12707,13140,13589,13697,14005,14057,14152,14757,15060,15174,15450,15351,9951,15351,5400,54.26590292432921,13057.65,1749.239000702576,Medium,Slow
Greater Manchester North East,UKD37,9090,9343,9834,10404,10774,11026,11160,11568,11845,12272,12715,12877,13245,13280,13413,14075,14492,14826,15435,15284,9090,15284,6194,68.14081408140814,12347.9,1937.700913861308,Medium,Moderate
Blackburn with Darwen,UKD41,8474,8626,9048,9166,9432,9395,9729,9966,10469,10776,10951,10916,11132,11453,11422,11630,11722,12074,12497,12450,8474,12450,3976,46.91999055935804,10566.4,1262.9739089691607,Low,Slow
Blackpool,UKD42,9597,9838,9908,10766,10913,11044,10828,10974,11139,11373,11882,12176,12675,12845,13281,13446,13681,13986,14404,14795,9597,14795,5198,54.162759195581955,11977.55,1577.8338407282843,Low,Slow
Lancaster and Wyre,UKD44,9241,9555,9839,10539,10982,11389,11724,12105,12492,12904,13403,13773,14522,14491,14686,15073,15499,15778,16212,16355,9241,16355,7114,76.98301049669949,13028.1,2286.91430580712,Medium,Moderate
Mid Lancashire,UKD45,10815,11115,11381,12136,12682,12946,13310,13718,14158,14589,15083,15416,16054,15973,16139,16570,16805,17195,18083,17843,10815,17843,7028,64.98381877022655,14600.55,2263.5422746101667,Medium,Moderate
East Lancashire,UKD46,8318,8560,8846,9386,9768,9970,10286,10714,11244,11603,12200,12681,13154,13163,13390,13698,14063,14152,14864,14808,8318,14808,6490,78.02356335657609,11743.4,2155.2360818297966,Low,Moderate
Chorley and West Lancashire,UKD47,10408,10599,10990,11789,12246,12593,12964,13390,13873,14290,14828,15236,15860,15781,16188,16669,16863,17249,18456,18660,10408,18660,8252,79.28516525749424,14446.6,2535.128947203153,Medium,Moderate
Warrington,UKD61,10432,10814,11215,12218,12792,13043,13371,14094,14328,14831,15535,15599,15843,15905,16226,17162,17269,17760,19071,19377,10432,19377,8945,85.74578220858896,14844.25,2610.4919253093394,Medium,Fast
Cheshire East,UKD62,12171,12540,13093,13664,13904,14822,15552,15996,16505,17033,17534,17863,18435,18315,18518,19267,20306,20899,22065,22025,12171,22025,9854,80.96294470462576,17025.35,3048.4676267024115,High,Fast
Cheshire West and Chester,UKD63,11089,11380,11954,12479,12749,13528,14315,14946,15404,15808,16359,16852,17455,17352,17384,18273,18730,19064,19858,19372,11089,19372,8283,74.69564433222112,15717.55,2796.930337558999,Medium,Moderate
East Merseyside,UKD71,8232,8499,8915,9658,10151,10431,10756,11178,11615,11977,12616,12923,13440,13499,13657,14144,14432,14605,15247,15334,8232,15334,7102,86.27308066083576,12065.45,2258.055299192322,Medium,Fast
Liverpool,UKD72,8445,8621,9098,9597,10092,10328,10637,10966,11129,11661,12025,12046,12627,12725,12879,13348,13723,14049,14566,14538,8445,14538,6093,72.14920071047958,11655.0,1916.8488944646958,Low,Moderate
Sefton,UKD73,11403,11796,12055,12103,11914,12419,12786,13148,13691,13958,14364,14697,15588,15670,15760,16480,17014,16958,17762,17672,11403,17672,6269,54.97676050162238,14361.9,2129.4830828161093,Medium,Slow
Wirral,UKD74,10261,10677,11124,11861,12268,12825,13237,13410,13537,13781,14488,14866,15495,15542,15595,16239,16684,16948,17499,17362,10261,17362,7101,69.20378130786473,14184.95,2240.26202591055,Medium,Moderate
"Kingston upon Hull, City of",UKE11,7411,7791,8237,9031,9548,9833,9837,9965,10164,10239,10584,10896,11426,11451,11786,12155,12264,12605,13103,13380,7411,13380,5969,80.54243691809472,10585.3,1704.5375078857826,Low,Fast
East Riding of Yorkshire,UKE12,10802,11065,11873,12220,12202,12707,13181,13774,14299,14918,15270,15456,15889,15962,16317,16707,16901,17167,18215,18427,10802,18427,7625,70.58877985558229,14667.6,2337.744761179255,Medium,Moderate
North and North East Lincolnshire,UKE13,9293,9711,9908,10294,10706,10988,11403,11742,11941,12348,13042,13072,13206,13206,13731,14144,14230,14421,14958,14994,9293,14994,5701,61.3472506187453,12366.9,1801.942720627116,Low,Moderate
York,UKE21,10532,11347,12061,12499,13033,13614,13547,13181,13442,14133,14898,14995,15567,15527,15685,16462,16760,17307,17909,18070,10532,18070,7538,71.57235093049754,14528.45,2148.015252200089,Medium,Moderate
North Yorkshire CC,UKE22,11701,12492,12614,12820,13244,13844,14232,14710,15516,16437,16889,17242,17936,17657,18047,18792,19150,19238,20403,20611,11701,20611,8910,76.14733783437313,16178.75,2819.5914947680667,High,Moderate
"Barnsley, Doncaster and Rotherham",UKE31,8747,9106,9562,10206,10582,10825,11186,11427,11753,12116,12597,12693,12996,13150,13525,14079,14471,14875,15388,15540,8747,15540,6793,77.66091231279296,12241.2,2046.7350791469146,Medium,Moderate
Sheffield,UKE32,9331,9629,10031,10546,11144,11458,11666,12213,12208,12393,12649,12980,13445,13233,13280,13697,13911,14362,14854,15057,9331,15057,5726,61.36534133533383,12404.35,1671.3860077319378,Medium,Moderate
Bradford,UKE41,9314,9562,9975,10652,10609,10832,10957,11362,11412,11663,12069,12240,12483,12345,12465,12892,13331,13666,14302,14444,9314,14444,5130,55.07837663732016,11828.75,1468.7798328437184,Low,Slow
Leeds,UKE42,10178,10513,10879,11730,12080,12366,12631,12770,12986,13391,14023,14290,14545,14575,14907,15278,15693,15923,16647,16814,10178,16814,6636,65.19944979367263,13610.95,1979.2779777378153,Medium,Moderate
Calderdale and Kirklees,UKE44,9519,9905,10251,10894,11178,11410,11818,12231,12505,12846,13377,13461,13715,13710,13924,14490,14905,15181,15934,16092,9519,16092,6573,69.05137094232587,12867.3,1952.5948214727257,Medium,Moderate
Wakefield,UKE45,9311,9719,10039,10694,11028,11414,11852,12287,12645,13015,13646,13688,13936,14073,14022,14505,14876,15107,15830,15955,9311,15955,6644,71.35646010095586,12882.1,2019.1827137678622,Medium,Moderate
Derby,UKF11,9300,9539,9898,9963,10483,10914,11128,11527,11440,12156,12437,12369,13073,12585,12581,13390,13792,14331,14934,15078,9300,15078,5778,62.12903225806452,12045.9,1739.5175041856926,Medium,Moderate
East Derbyshire,UKF12,8612,9049,9584,10015,10819,11128,11316,11644,11986,12546,13187,13170,13364,13269,13557,14131,14401,14649,15561,15490,8612,15490,6878,79.86530422666047,12373.9,2065.6744763164556,Medium,Moderate
South and West Derbyshire,UKF13,9685,10068,10520,11080,11542,11958,12803,13379,13838,14312,14979,15274,15439,15374,15965,16568,17270,17456,18646,18985,9685,18985,9300,96.02478058853899,14257.05,2824.8619989581603,Medium,Fast
Nottingham,UKF14,8304,8674,9049,9452,9654,9864,9927,9768,9924,10122,10542,10781,10817,10728,10761,11109,11679,11911,12397,12232,8304,12232,3928,47.30250481695568,10384.75,1128.7012972531982,Low,Slow
North Nottinghamshire,UKF15,9046,9586,9916,10574,11003,11407,11738,12345,12567,12818,13644,13980,14342,14132,14228,14685,14934,15348,16297,16339,9046,16339,7293,80.62126906920186,12946.45,2194.1783613870016,Medium,Fast
South Nottinghamshire,UKF16,11038,11492,11914,12308,12988,13356,13850,14316,14610,15155,16089,16529,16826,16557,16602,17502,17965,18391,19146,19484,11038,19484,8446,76.5174850516398,15305.9,2588.578209629453,Medium,Moderate
Leicester,UKF21,8348,8267,8660,9221,9568,9843,9997,10196,10110,10304,10760,10647,10953,11127,11178,11640,11863,12049,12599,12848,8348,12848,4500,53.90512697652132,10508.9,1319.8159720203419,Low,Slow
