Region,Code,GDHI_1997,GDHI_2016,Absolute_Growth,Percentage_Growth
Kensington & Chelsea and Hammersmith & Fulham,UKI33,27630,58816,31186,112.87006876583423
Westminster,UKI32,21079,50910,29831,141.51999620475354
Camden and City of London,UKI31,18600,45225,26625,143.14516129032256
Wandsworth,UKI34,14012,37288,23276,166.11475877819012
Hounslow and Richmond upon Thames,UKI75,17505,31505,14000,79.97714938588975
West Surrey,UKJ25,16313,28467,12154,74.5049960154478
Haringey and Islington,UKI43,15262,28188,12926,84.69401126982046
Barnet,UKI71,12774,27455,14681,114.92876154689213
East Surrey,UKJ26,15848,27263,11415,72.02801615345786
Bromley,UKI61,13916,27169,13253,95.23569991376833
Ealing,UKI73,12921,26655,13734,106.29208265614116
Buckinghamshire CC,UKJ13,15163,26570,11407,75.22917628437644
"Merton, Kingston upon Thames and Sutton",UKI63,14261,26355,12094,84.804712152023
West Kent,UKJ46,15855,25174,9319,58.776411226742354
Lambeth,UKI45,11141,24965,13824,124.0822188313437
Hertfordshire,UKH23,13267,24311,11044,83.24413959448255
Central Hampshire,UKJ36,13476,24245,10769,79.91243692490353
West Essex,UKH35,13429,23776,10347,77.04966862759699
Oxfordshire,UKJ14,13290,23675,10385,78.14145974416856
Berkshire,UKJ11,13778,23674,9896,71.82464798954855
Harrow and Hillingdon,UKI74,11488,23661,12173,105.96274373259054
Brent,UKI72,10845,23580,12735,117.42738589211619
Tower Hamlets,UKI42,13122,23227,10105,77.00807803688463
North Hampshire,UKJ37,13905,23155,9250,66.52283351312478
West Sussex (North East),UKJ28,14840,22853,8013,53.995956873315365
Lewisham and Southwark,UKI44,10070,22724,12654,125.66037735849056
Heart of Essex,UKH36,13661,22211,8550,62.58692628650904
Cheshire East,UKD62,12171,22025,9854,80.96294470462576
Solihull,UKG32,12156,21927,9771,80.38005923000988
"Edinburgh, City of",UKM75,12195,21837,9642,79.06519065190652
Croydon,UKI62,10324,21766,11442,110.82913599380085
Aberdeen City and Aberdeenshire,UKM50,11103,21534,10431,93.9475817346663
Enfield,UKI54,10966,21444,10478,95.54988145175999
West Sussex (South West),UKJ27,11506,21382,9876,85.83347818529464
Cambridgeshire CC,UKH12,11517,21322,9805,85.13501779977425
Bexley and Greenwich,UKI51,12818,21318,8500,66.3129973474801
Warwickshire,UKG13,11626,21290,9664,83.12403234130397
Redbridge and Waltham Forest,UKI53,11109,21248,10139,91.26834098478712
"Bath and North East Somerset, North Somerset and South Gloucestershire",UKK12,12122,21001,8879,73.24698894571853
East Sussex CC,UKJ22,11848,20741,8893,75.05908170155301
Central Bedfordshire,UKH25,12129,20719,8590,70.82199686701294
North Yorkshire CC,UKE22,11701,20611,8910,76.14733783437313
Gloucestershire,UKK13,11799,20532,8733,74.01474701245868
Dorset CC,UKK22,11882,20508,8626,72.59720585759973
Brighton and Hove,UKJ21,12033,20508,8475,70.43131388681127
Wiltshire CC,UKK15,11879,20292,8413,70.82245980301373
Mid Kent,UKJ45,12667,20159,7492,59.14581195231704
East Lothian and Midlothian,UKM73,10113,20139,10026,99.13972115099378
Bedford,UKH24,11406,20136,8730,76.53866386112573
Shetland Islands,UKM66,9475,20124,10649,112.3905013192612
South Hampshire,UKJ35,10779,20107,9328,86.53863994804712
West Northamptonshire,UKF24,10975,20062,9087,82.79726651480638
Milton Keynes,UKJ12,11187,20039,8852,79.12755877357647
East Cumbria,UKD12,10952,19928,8976,81.95763330898465
Worcestershire,UKG12,11161,19769,8608,77.1257055819371
Perth & Kinross and Stirling,UKM77,11359,19747,8388,73.8445285676556
Barking & Dagenham and Havering,UKI52,10307,19707,9400,91.20015523430678
Essex Thames Gateway,UKH37,11434,19667,8233,72.00454783977611
South Nottinghamshire,UKF16,11038,19484,8446,76.5174850516398
Warrington,UKD61,10432,19377,8945,85.74578220858896
Cheshire West and Chester,UKD63,11089,19372,8283,74.69564433222112
Hackney and Newham,UKI41,6448,19261,12813,198.71277915632754
"Herefordshire, County of",UKG11,10259,19089,8830,86.07076713129935
Southend-on-Sea,UKH31,10676,19088,8412,78.79355563881603
Devon CC,UKK43,11216,19088,7872,70.18544935805991
Bournemouth and Poole,UKK21,11465,19048,7583,66.1404273877017
South and West Derbyshire,UKF13,9685,18985,9300,96.02478058853899
Scottish Borders,UKM91,9689,18923,9234,95.30395293631953
Shropshire CC,UKG22,10773,18856,8083,75.03016801262416
"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81,9459,18824,9365,99.0062374458188
"Inverclyde, East Renfrewshire and Renfrewshire",UKM83,10470,18816,8346,79.71346704871061
Greater Manchester South West,UKD34,11958,18786,6828,57.09984947315605
Suffolk,UKH14,10222,18774,8552,83.66268831931129
Caithness & Sutherland and Ross & Cromarty,UKM61,9826,18743,8917,90.74903317728476
Somerset,UKK23,11019,18733,7714,70.00635266358108
Chorley and West Lancashire,UKD47,10408,18660,8252,79.28516525749424
South Ayrshire,UKM94,9659,18631,8972,92.88746247023502
Essex Haven Gateway,UKH34,10134,18587,8453,83.41227550819025
Kent Thames Gateway,UKJ43,10683,18539,7856,73.53739586258541
Swindon,UKK14,11137,18536,7399,66.43620364550597
Leicestershire CC and Rutland,UKF22,11144,18427,7283,65.35355348169418
East Riding of Yorkshire,UKE12,10802,18427,7625,70.58877985558229
"Inverness & Nairn and Moray, Badenoch & Strathspey",UKM62,8970,18386,9416,104.97212931995541
Orkney Islands,UKM65,8116,18381,10265,126.47856086742237
North Northamptonshire,UKF25,10271,18315,8044,78.31759322363936
Staffordshire CC,UKG24,10276,18184,7908,76.95601401323472
York,UKE21,10532,18070,7538,71.57235093049754
Northumberland,UKC21,10301,18016,7715,74.89564119988351
Medway,UKJ41,10830,17884,7054,65.13388734995384
Mid Lancashire,UKD45,10815,17843,7028,64.98381877022655
Dumfries & Galloway,UKM92,9435,17759,8324,88.22469528351881
North and West Norfolk,UKH16,9574,17749,8175,85.38750783371631
Lisburn and Castlereagh,UKN14,9443,17684,8241,87.27099438737689
East Kent,UKJ44,9064,17682,8618,95.07943512797881
Sefton,UKD73,11403,17672,6269,54.97676050162238
"Bristol, City of",UKK11,10387,17633,7246,69.760277269664
West Cumbria,UKD11,9028,17578,8550,94.70536109880372
Greater Manchester South East,UKD35,9898,17561,7663,77.41968074358456
"Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute",UKM63,8338,17515,9177,110.0623650755577
Thurrock,UKH32,10133,17507,7374,72.77213066219284
Norwich and East Norfolk,UKH15,10042,17431,7389,73.58095996813384
Breckland and South Norfolk,UKH17,10381,17419,7038,67.7969367112995
Wirral,UKD74,10261,17362,7101,69.20378130786473
Monmouthshire and Newport,UKL21,9919,17316,7397,74.5740498034076
Mid and East Antrim,UKN15,9331,17315,7984,85.56424820490837
South Lanarkshire,UKM95,9748,17311,7563,77.58514567090685
Clackmannanshire and Fife,UKM72,9090,17264,8174,89.92299229922992
Flintshire and Wrexham,UKL23,9772,17119,7347,75.18419975440032
Torbay,UKK42,10051,17069,7018,69.82389811959008
Ards and North Down,UKN09,9608,17035,7427,77.30016652789342
Cornwall and Isles of Scilly,UKK30,9957,17026,7069,70.9952797027217
Angus and Dundee City,UKM71,9382,16939,7557,80.54785759965893
Lincolnshire,UKF30,10106,16853,6747,66.76231941420939
Antrim and Newtownabbey,UKN13,9390,16849,7459,79.43556975505858
Leeds,UKE42,10178,16814,6636,65.19944979367263
Isle of Wight,UKJ34,9865,16781,6916,70.10643689812468
Peterborough,UKH11,9916,16563,6647,67.03307785397338
Falkirk,UKM76,8798,16516,7718,87.72448283700841
Cardiff and Vale of Glamorgan,UKL22,10004,16515,6511,65.08396641343462
Na h-Eileanan Siar (Western Isles),UKM64,8721,16479,7758,88.95768833849328
Isle of Anglesey,UKL11,9644,16468,6824,70.75902115304854
East Ayrshire and North Ayrshire mainland,UKM93,8464,16443,7979,94.26984877126654
Conwy and Denbighshire,UKL13,10441,16432,5991,57.37956134469878
West Lothian,UKM78,8475,16390,7915,93.39233038348083
Lancaster and Wyre,UKD44,9241,16355,7114,76.98301049669949
North Nottinghamshire,UKF15,9046,16339,7293,80.62126906920186
Powys,UKL24,9348,16303,6955,74.40094137783483
Telford and Wrekin,UKG21,10090,16291,6201,61.45688800792865
North Lanarkshire,UKM84,8793,16171,7378,83.90765381553508
Calderdale and Kirklees,UKE44,9519,16092,6573,69.05137094232587
Wakefield,UKE45,9311,15955,6644,71.35646010095586
South West Wales,UKL14,9186,15919,6733,73.29632048769868
Dudley,UKG36,9656,15878,6222,64.43661971830986
"Armagh City, Banbridge and Craigavon",UKN07,8685,15582,6897,79.41278065630397
Belfast,UKN06,9957,15565,5608,56.32218539720799
"Barnsley, Doncaster and Rotherham",UKE31,8747,15540,6793,77.66091231279296
Tyneside,UKC22,9209,15505,6296,68.36790096644587
East Derbyshire,UKF12,8612,15490,6878,79.86530422666047
Darlington,UKC13,9637,15487,5850,60.703538445574345
Greater Manchester North West,UKD36,9951,15351,5400,54.26590292432921
Bridgend and Neath Port Talbot,UKL17,9772,15337,5565,56.94842406876791
East Merseyside,UKD71,8232,15334,7102,86.27308066083576
Glasgow City,UKM82,9036,15311,6275,69.44444444444444
Hartlepool and Stockton-on-Tees,UKC11,9269,15291,6022,64.96925234653145
Greater Manchester North East,UKD37,9090,15284,6194,68.14081408140814
Durham CC,UKC14,9238,15221,5983,64.76510067114094
Gwynedd,UKL12,8964,15188,6224,69.43328871039715
Plymouth,UKK41,9258,15147,5889,63.60985093972781
Causeway Coast and Glens,UKN12,7144,15132,7988,111.81410974244122
Derby,UKF11,9300,15078,5778,62.12903225806452
Portsmouth,UKJ31,9368,15066,5698,60.82408198121264
Sheffield,UKE32,9331,15057,5726,61.36534133533383
Sunderland,UKC23,8515,14998,6483,76.13623018203171
North and North East Lincolnshire,UKE13,9293,14994,5701,61.3472506187453
Swansea,UKL18,9501,14911,5410,56.9413745921482
Luton,UKH21,9260,14889,5629,60.788336933045365
East Lancashire,UKD46,8318,14808,6490,78.02356335657609
Southampton,UKJ32,9627,14797,5170,53.70312662303937
Blackpool,UKD42,9597,14795,5198,54.162759195581955
South Teesside,UKC12,8988,14753,5765,64.14107699154428
Fermanagh and Omagh,UKN16,7772,14722,6950,89.42357179619145
"Newry, Mourne and Down",UKN08,8535,14721,6186,72.4780316344464
Mid Ulster,UKN11,7833,14647,6814,86.99093578450146
Liverpool,UKD72,8445,14538,6093,72.14920071047958
Central Valleys,UKL15,8120,14525,6405,78.87931034482759
Bradford,UKE41,9314,14444,5130,55.07837663732016
Gwent Valleys,UKL16,8854,14394,5540,62.57058956403885
Coventry,UKG33,8998,14175,5177,57.53500777950655
